Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Kaiosama(Original Mix),RomanHope,,Trance,128,D♭ min,6:15,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Ilex Kaa(Original Mix),Amst,,Trance,128,B min,5:30,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Krypton(Original Mix),Andretta,,Trance,122,A maj,8:31,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Pristine(Original Mix),DominicManns,,Trance,128,A min,6:15,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",Personal Earth(Max Freegrant & Slow Fish Remix),"DmitryBessonov,AlexPich,Jeyma","MaxFreegrant,SlowFish",ProgressiveHouse,123,B maj,6:34,FGC035
"Bodo Kaiser, Dezza, Theølogy, Profetik, H3 - The Best Of 2017 (New Year Compilation), Pt. 2",LITD (Searching For The Light)(Original Mix),Silva,,ProgressiveHouse,120,E min,8:00,FGC035
"Luke McMaster, Novan Vs. Titus1 - Only Love (Max Freegrant Remix)",Only Love(Max Freegrant Extended Remix),"LukeMcMaster,NovanVs.Titus1",MaxFreegrant,Trance,126,B♭ min,5:28,FG267
"Luke McMaster, Novan Vs. Titus1 - Only Love (Max Freegrant Remix)",Only Love(Max Freegrant Remix),"LukeMcMaster,NovanVs.Titus1",MaxFreegrant,Trance,126,B♭ min,3:25,FG267
"Luke McMaster, Novan Vs. Titus1 - Only Love (Max Freegrant Remix)",Only Love (Max Freegrant Remix)(Max Freegrant Dub Remix),"LukeMcMaster,NovanVs.Titus1",MaxFreegrant,Trance,126,B♭ min,5:28,FG267
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",Flight To Jupiter(Original Mix),Maglev,,Trance,130,G min,5:59,FGC034
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",Get Back(Max Freegrant Remix),Dezza,MaxFreegrant,Trance,124,D♭ min,5:15,FGC034
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",White Island(Original Mix),"DominicManns,AxelPolo",,Trance,128,G maj,4:52,FGC034
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",Lifestream(Original Mix),"5ALVO,Profetik",,Trance,128,G min,5:37,FGC034
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",Charlotte Everytime(Max Freegrant & Slow Fish Remix),DaFresh,"MaxFreegrant,SlowFish",ProgressiveHouse,122,D maj,6:09,FGC034
"Maglev, Dezza, Dominic Manns, AxelPolo, 5ALVO - The Best Of 2017 (New Year Compilation), Pt. 1",Zodiac(Original Mix),AxelPolo,,Trance,128,D♭ min,5:54,FGC034
