Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Andres Sanchez - Sunset At Kanya / Raw Nerve,Sunset At Kanya(Original Mix),AndresSanchez,,Trance,138,F min,7:06,FSOE085
Andres Sanchez - Sunset At Kanya / Raw Nerve,Raw Nerve(Original Mix),AndresSanchez,,Trance,138,C min,7:04,FSOE085
Neptune Project - Lost All My Tears,Lost All My Tears(Original Mix),NeptuneProject,,Trance,140,E min,8:24,FSOE084
Neptune Project - Lost All My Tears,Lost All My Tears(The Noble Six Remix),NeptuneProject,TheNobleSix,Trance,140,E min,7:30,FSOE084
"Geert Huinink, Fady & Mina - I'm Not Gonna Fall Behind",I'm Not Gonna Fall Behind(Original Mix),"GeertHuinink,Fady&Mina",,Trance,140,E min,7:40,FSOE083
"ReOrder, Ian Standerwick, Skypatrol - Sailing Airwaves (In Memory Of Matt Trigle)",Sailing Airwaves (In Memory of Matt Trigle)(Original Mix),"ReOrder,IanStanderwick,Skypatrol",,Trance,138,D♭ maj,6:57,FSOE082
"Ram, Arctic Moon - Mirakuru",Mirakuru(Original Mix),"Ram,ArcticMoon",,Trance,138,A♭ min,8:29,FSOE081
"Hazem Beltagui, Rebecca Louise Burch - Lost Again",Lost Again feat. Rebecca Louise Burch(Original Mix),"HazemBeltagui,RebeccaLouiseBurch",,Trance,136,G min,7:45,FSOE080
"Hazem Beltagui, Rebecca Louise Burch - Lost Again",Lost Again feat. Rebecca Louise Burch(Fabio XB Rework),"HazemBeltagui,RebeccaLouiseBurch",FabioXB,Trance,130,G min,7:00,FSOE080
"Hazem Beltagui, Rebecca Louise Burch - Lost Again",Lost Again feat. Rebecca Louise Burch(Mohamed Ragab Remix),"HazemBeltagui,RebeccaLouiseBurch",MohamedRagab,Trance,132,G min,7:16,FSOE080
"Hazem Beltagui, Rebecca Louise Burch - Lost Again",Lost Again feat. Rebecca Louise Burch(Ian Standerwick Remix),"HazemBeltagui,RebeccaLouiseBurch",IanStanderwick,Trance,138,G min,7:36,FSOE080
